time,open,high,low,close,volume
2025-10-28,2419.77,2432.44,2413.71,2422.33,10785
2025-10-29,2422.33,2429.74,2414.2,2425.33,26017
2025-10-30,2425.33,2437.91,2420.75,2427.59,35363
2025-10-31,2427.59,2434.47,2416.16,2430.3,25586
2025-11-01,2430.3,2439.65,2423.82,2433.82,17603
2025-11-02,2433.82,2440.39,2427.95,2436.88,28260
2025-11-03,2436.88,2446.07,2429.07,2440.12,16682
2025-11-04,2440.12,2453.1,2432.3,2444.53,27556
2025-11-05,2444.53,2457.85,2437.9,2449.25,20863
2025-11-06,2449.25,2460.85,2439.68,2453.27,34223
2025-11-07,2453.27,2464.5,2444.3,2457.41,17842
2025-11-08,2457.41,2470.65,2449.81,2461.57,20195
2025-11-09,2461.57,2473.8,2451.95,2465.4,29960
2025-11-10,2465.4,2473.24,2455.7,2469.19,22877
2025-11-11,2469.19,2481.77,2458.15,2472.54,27093
2025-11-12,2472.54,2481.57,2465.31,2477.19,19685
2025-11-13,2477.19,2490.43,2468.03,2481.21,37869
2025-11-14,2481.21,2490.06,2477.15,2485.1,31697
2025-11-15,2485.1,2498.11,2481.71,2489.16,33098
2025-11-16,2489.16,2500.36,2479.47,2493.37,35778
2025-11-17,2493.37,2504.82,2486.62,2498.15,37608
2025-11-18,2498.15,2508.29,2489.98,2501.43,36441
2025-11-19,2501.43,2511.09,2492.03,2504.43,31872
2025-11-20,2504.43,2511.61,2494.64,2507.74,30466
2025-11-21,2507.74,2518.92,2501.06,2510.02,11665
2025-11-22,2510.02,2520.32,2499.99,2513.78,34277
2025-11-23,2513.78,2526.5,2505.96,2517.06,9421
2025-11-24,2517.06,2527.61,2513.31,2519.93,38966
2025-11-25,2519.93,2530.39,2510.15,2521.93,9370
2025-11-26,2521.93,2531.96,2517.19,2524.38,11775
2025-11-27,2524.38,2532.19,2517.64,2526.85,16790
2025-11-28,2526.85,2535.03,2521.96,2528.65,22124
2025-11-29,2528.65,2539.68,2523.71,2529.6,20130
2025-11-30,2529.6,2534.69,2522.69,2529.2,38834
2025-12-01,2529.2,2539.96,2521.82,2530.68,15763
2025-12-02,2530.68,2536.38,2522.72,2530.91,39123
2025-12-03,2530.91,2535.79,2521.77,2530.55,10174
2025-12-04,2530.55,2540.39,2521.4,2531.39,12434
2025-12-05,2531.39,2538.63,2525.05,2531.6,8662
2025-12-06,2531.6,2540.57,2524.4,2530.25,13914
2025-12-07,2530.25,2534.78,2520.54,2529.8,11785
2025-12-08,2529.8,2537.08,2524.01,2529.09,27308
2025-12-09,2529.09,2538.58,2523.95,2529.27,24546
2025-12-10,2529.27,2532.98,2523.06,2527.04,37850
2025-12-11,2527.04,2530.63,2522.24,2525.95,11185
2025-12-12,2525.95,2533.32,2514.55,2525.0,36961
2025-12-13,2525.0,2533.48,2518.78,2525.26,24779
2025-12-14,2525.26,2529.17,2514.63,2523.5,23077
2025-12-15,2523.5,2534.61,2512.33,2520.26,37386
2025-12-16,2520.26,2526.78,2514.03,2518.3,30109
2025-12-17,2518.3,2524.74,2511.67,2517.71,33310
2025-12-18,2517.71,2525.68,2510.19,2517.62,26701
2025-12-19,2517.62,2522.09,2510.7,2518.35,21866
2025-12-20,2518.35,2526.91,2508.93,2518.13,22798
2025-12-21,2518.13,2529.31,2507.65,2517.08,32122
2025-12-22,2517.08,2522.37,2506.07,2517.51,17945
2025-12-23,2517.51,2525.39,2507.09,2517.39,11212
2025-12-24,2517.39,2521.2,2509.33,2517.29,23570
2025-12-25,2517.29,2522.1,2507.93,2517.55,37781
2025-12-26,2517.55,2528.23,2510.52,2519.01,28276
2025-12-27,2519.01,2528.16,2511.25,2518.95,32172
2025-12-28,2518.95,2523.25,2510.94,2519.0,25704
2025-12-29,2519.0,2524.99,2510.28,2520.03,32805
2025-12-30,2520.03,2530.48,2509.37,2521.3,36439
2025-12-31,2521.3,2528.27,2512.91,2522.2,8375
2026-01-01,2522.2,2533.08,2515.22,2523.28,29386
2026-01-02,2523.28,2534.6,2517.8,2525.59,25109
2026-01-03,2525.59,2538.6,2519.48,2528.9,11265
2026-01-04,2528.9,2538.24,2522.17,2531.93,29854
2026-01-05,2531.93,2544.03,2523.67,2535.16,27358
2026-01-06,2535.16,2549.97,2529.62,2539.04,38556
2026-01-07,2539.04,2545.23,2532.73,2539.69,39387
2026-01-08,2539.69,2546.21,2526.38,2536.64,32193
2026-01-09,2536.64,2545.71,2522.17,2530.42,37969
2026-01-10,2530.42,2537.99,2520.68,2528.74,15876
2026-01-11,2528.74,2537.2,2517.71,2524.2,11722
2026-01-12,2524.2,2533.99,2515.75,2521.34,37718
2026-01-13,2521.34,2530.74,2503.31,2514.86,14265
2026-01-14,2514.86,2520.72,2499.42,2509.43,34814
2026-01-15,2509.43,2519.3,2497.68,2506.45,19576
2026-01-16,2506.45,2514.65,2497.84,2503.57,21930
2026-01-17,2503.57,2509.19,2493.21,2501.93,10796
2026-01-18,2501.93,2507.86,2488.06,2496.63,23801
